Date,Clinton,Trump
2016-11-08,51.11346765641569,48.8865323435843
2016-11-01,51.578947368421055,48.421052631578945
2016-11-04,52.12765957446809,47.87234042553192
2016-11-04,51.68539325842697,48.31460674157304
2016-11-03,51.578947368421055,48.421052631578945
2016-11-03,52.17391304347826,47.82608695652174
2016-11-03,50.588235294117645,49.411764705882355
2016-11-03,53.191489361702125,46.808510638297875
2016-11-02,53.01204819277109,46.98795180722892
2016-11-02,52.22222222222223,47.77777777777778
2016-10-31,53.68421052631579,46.31578947368421
2016-10-04,52.4390243902439,47.5609756097561
2016-11-03,52.74725274725275,47.25274725274725
2016-11-02,52.12765957446809,47.87234042553192
2016-11-02,50.56179775280899,49.43820224719101
2016-10-30,51.578947368421055,48.421052631578945
2016-10-30,47.25274725274725,52.74725274725275
2016-11-01,52.68817204301075,47.31182795698925
2016-11-01,51.68539325842697,48.31460674157304
2016-10-31,52.38095238095239,47.61904761904761
2016-10-29,50.51546391752577,49.48453608247423
2016-10-29,47.25274725274725,52.74725274725275
2016-11-01,50.54945054945055,49.45054945054945
2016-11-01,51.11111111111111,48.888888888888886
2016-10-30,53.01204819277109,46.98795180722892
2016-10-31,52.12765957446809,47.87234042553192
2016-10-30,50.56179775280899,49.43820224719101
2016-10-28,50.51546391752577,49.48453608247423
2016-10-30,51.578947368421055,48.421052631578945
2016-10-29,53.57142857142857,46.42857142857143
2016-10-29,50.0,50.0
2016-10-27,50.51546391752577,49.48453608247423
2016-10-29,51.041666666666664,48.95833333333333
2016-10-28,51.64835164835166,48.35164835164835
2016-10-28,53.57142857142857,46.42857142857143
2016-10-30,51.61290322580645,48.38709677419355
2016-10-27,50.0,50.0
2016-10-26,50.51546391752577,49.48453608247423
2016-10-26,46.666666666666664,53.333333333333336
2016-10-28,50.526315789473685,49.473684210526315
2016-10-26,50.56179775280899,49.43820224719101
2016-10-29,51.68539325842697,48.31460674157304
2016-10-27,52.52525252525253,47.474747474747474
2016-10-27,50.526315789473685,49.473684210526315
2016-10-26,53.01204819277109,46.98795180722892
2016-10-25,51.13636363636363,48.86363636363637
2016-10-24,50.51546391752577,49.48453608247423
2016-10-24,53.68421052631579,46.31578947368421
2016-10-26,51.041666666666664,48.95833333333333
2016-10-24,52.32558139534884,47.674418604651166
2016-10-23,50.0,50.0
2016-10-27,52.87356321839081,47.12643678160919
2016-10-25,50.54945054945055,49.45054945054945
2016-10-23,52.87356321839081,47.12643678160919
2016-10-24,51.578947368421055,48.421052631578945
2016-10-22,51.724137931034484,48.275862068965516
2016-10-21,53.84615384615385,46.15384615384615
2016-10-21,48.888888888888886,51.11111111111111
2016-10-23,52.63157894736842,47.368421052631575
2016-10-22,51.578947368421055,48.421052631578945
2016-10-21,51.162790697674424,48.837209302325576
2016-10-20,51.041666666666664,48.95833333333333
2016-10-22,52.68817204301075,47.31182795698925
2016-10-22,53.68421052631579,46.31578947368421
2016-10-20,53.76344086021505,46.236559139784944
2016-10-20,51.19047619047619,48.80952380952381
2016-10-19,51.041666666666664,48.95833333333333
2016-10-19,49.43820224719101,50.56179775280899
2016-10-21,55.952380952380956,44.047619047619044
2016-10-21,54.25531914893617,45.744680851063826
2016-10-21,56.38297872340425,43.61702127659575
2016-10-20,56.84210526315789,43.15789473684211
2016-10-20,55.68181818181818,44.31818181818182
2016-10-20,53.75,46.25
2016-10-19,50.588235294117645,49.411764705882355
2016-10-20,56.38297872340425,43.61702127659575
2016-10-20,53.125,46.875
2016-10-18,50.0,50.0
2016-10-17,53.191489361702125,46.808510638297875
2016-10-17,51.578947368421055,48.421052631578945
2016-10-20,56.38297872340425,43.61702127659575
2016-10-17,49.411764705882355,50.588235294117645
2016-10-16,50.0,50.0
2016-10-19,53.48837209302325,46.51162790697674
2016-10-17,53.84615384615385,46.15384615384615
2016-10-15,51.19047619047619,48.80952380952381
2016-10-14,49.43820224719101,50.56179775280899
2016-10-14,52.38095238095239,47.61904761904761
2016-10-14,51.19047619047619,48.80952380952381
2016-10-17,53.191489361702125,46.808510638297875
2016-10-15,52.22222222222223,47.77777777777778
2016-10-13,51.76470588235295,48.23529411764706
2016-10-15,53.84615384615385,46.15384615384615
2016-10-14,54.94505494505495,45.05494505494506
2016-10-13,52.4390243902439,47.5609756097561
2016-10-12,58.620689655172406,41.37931034482759
2016-10-11,52.57731958762887,47.42268041237113
2016-10-14,56.38297872340425,43.61702127659575
2016-10-12,56.043956043956044,43.956043956043956
2016-10-10,54.25531914893617,45.744680851063826
2016-10-10,52.083333333333336,47.91666666666667
2016-10-13,52.87356321839081,47.12643678160919
2016-10-10,55.434782608695656,44.565217391304344
2016-10-10,52.083333333333336,47.91666666666667
2016-10-09,52.87356321839081,47.12643678160919
2016-10-08,54.65116279069767,45.348837209302324
2016-10-07,52.63157894736842,47.368421052631575
2016-10-10,54.44444444444444,45.55555555555556
2016-10-10,52.87356321839081,47.12643678160919
2016-10-08,55.55555555555556,44.44444444444444
2016-10-06,54.32098765432099,45.67901234567901
2016-10-04,53.191489361702125,46.808510638297875
2016-09-27,54.63917525773196,45.36082474226804
2016-10-08,57.77777777777777,42.22222222222222
2016-10-03,53.68421052631579,46.31578947368421
2016-10-03,52.68817204301075,47.31182795698925
2016-10-08,52.32558139534884,47.674418604651166
2016-10-07,52.74725274725275,47.25274725274725
2016-10-05,51.162790697674424,48.837209302325576
2016-10-05,53.191489361702125,46.808510638297875
2016-10-03,52.17391304347826,47.82608695652174
2016-09-30,53.086419753086425,46.913580246913575
2016-09-30,50.526315789473685,49.473684210526315
