Date,Pro-Independence (ERC + Junts + CUP + AC),Rest (PSC + VOX + ECP + Cs + PP)
2024-05-08,76.0,58.0
2024-05-07,73.0,61.0
2024-05-07,72.0,62.0
2024-05-06,66.0,68.0
2024-05-06,72.0,62.0
2024-05-06,73.0,61.0
2024-05-06,68.0,66.0
2024-05-06,67.0,67.0
2024-05-05,43.0,91.0
2024-05-05,82.0,52.0
2024-05-04,71.0,63.0
2024-05-02,75.0,59.0
2024-05-02,71.0,63.0
2024-05-05,72.0,62.0
2024-05-05,71.0,63.0
2024-05-03,68.0,66.0
2024-05-03,75.0,59.0
2024-05-02,68.0,66.0
2024-04-30,68.0,66.0
2024-05-02,70.0,64.0
2024-05-01,63.0,71.0
2024-04-30,66.0,68.0
2024-04-27,68.0,66.0
2024-04-27,69.0,65.0
2024-04-25,68.0,66.0
2024-04-23,76.0,58.0
2024-04-22,70.0,64.0
2024-04-24,70.0,64.0
2024-04-17,66.0,68.0
2024-04-15,63.0,71.0
2024-04-22,67.0,67.0
2024-04-23,71.0,63.0
2024-04-19,71.0,63.0
2024-04-19,69.0,65.0
2024-04-21,65.0,69.0
2024-04-10,67.0,67.0
2024-03-29,67.0,67.0
2024-03-25,69.0,65.0
2024-03-22,64.0,70.0
2024-03-20,62.0,72.0
2024-03-21,65.0,69.0
2024-03-18,70.0,64.0
2024-03-16,65.0,69.0
2024-03-15,76.0,58.0
2024-03-07,45.0,89.0
2024-03-16,71.0,63.0
2024-02-26,71.0,63.0
2024-02-21,69.0,65.0
2024-01-10,67.0,67.0
2023-11-28,67.0,67.0
2023-11-07,43.0,91.0
2023-10-10,67.0,67.0
2023-09-09,69.0,65.0
2023-06-26,49.0,85.0
2023-03-24,47.0,87.0
2022-12-10,70.0,64.0
2022-10-21,45.0,89.0
2022-10-14,74.0,60.0
2022-10-13,70.0,64.0
2022-07-07,48.0,86.0
2022-05-30,74.0,60.0
2022-05-19,70.0,64.0
2022-05-12,68.0,66.0
2022-03-28,52.0,82.0
2021-10-14,75.0,59.0
2021-09-22,74.0,60.0
2021-07-13,76.0,58.0
2021-05-19,78.0,56.0
2021-05-14,73.0,61.0
2021-05-12,76.0,58.0
2021-04-01,74.0,60.0
2021-02-14,74.0,60.0
