Date,PSC,ERC,Junts,VOX,ECP,CUP,Cs,PP,AC
2024-05-09,40.0,26.0,35.0,12.0,7.0,9.0,0.0,13.0,4.0
2024-05-10,40.0,24.0,38.0,12.0,5.0,7.0,0.0,12.0,6.0
2024-05-09,41.0,25.0,38.0,12.0,6.0,6.0,0.0,12.0,6.0
2024-05-08,42.0,24.0,37.0,12.0,6.0,9.0,0.0,12.0,4.0
2024-05-08,42.0,26.0,38.0,11.0,7.0,6.0,0.0,12.0,6.0
2024-05-07,42.0,25.0,37.0,12.0,6.0,8.0,0.0,12.0,3.0
2024-05-07,39.0,28.0,35.0,12.0,9.0,6.0,0.0,13.0,3.0
2024-05-06,40.0,26.0,33.0,10.0,6.0,5.0,0.0,13.0,2.0
2024-05-06,40.0,28.0,36.0,12.0,8.0,6.0,0.0,12.0,2.0
2024-05-06,42.0,29.0,33.0,9.0,6.0,7.0,0.0,12.0,4.0
2024-05-06,40.0,26.0,33.0,10.0,5.0,6.0,0.0,13.0,3.0
2024-05-06,40.0,25.0,34.0,10.0,5.0,5.0,,13.0,3.0
2024-05-05,41.0,26.0,11.0,11.0,7.0,4.0,,13.0,2.0
2024-05-05,38.0,30.0,38.0,12.0,8.0,8.0,,12.0,6.0
2024-05-04,44.0,26.0,35.0,11.0,7.0,5.0,0.0,14.0,5.0
2024-05-02,41.0,28.0,38.0,7.0,5.0,5.0,0.0,13.0,4.0
2024-05-02,43.0,26.0,37.0,12.0,6.0,5.0,0.0,15.0,3.0
2024-05-05,42.0,23.0,37.0,11.0,6.0,8.0,0.0,11.0,4.0
2024-05-05,40.0,29.0,34.0,11.0,5.0,5.0,0.0,14.0,3.0
2024-05-03,40.0,25.0,35.0,11.0,6.0,5.0,,14.0,3.0
2024-05-03,41.0,26.0,34.0,12.0,9.0,8.0,,12.0,7.0
2024-05-02,42.0,26.0,33.0,9.0,8.0,6.0,,14.0,3.0
2024-04-30,32.0,27.0,32.0,11.0,5.0,7.0,0.0,13.0,2.0
2024-05-02,40.0,28.0,33.0,12.0,8.0,7.0,,13.0,2.0
2024-05-01,42.0,26.0,32.0,11.0,6.0,4.0,,13.0,1.0
2024-04-30,40.0,26.0,32.0,10.0,6.0,6.0,0.0,13.0,2.0
2024-04-27,39.0,28.0,33.0,11.0,6.0,7.0,,14.0,
2024-04-27,39.0,28.0,32.0,10.0,6.0,7.0,0.0,13.0,2.0
2024-04-25,40.0,27.0,34.0,10.0,5.0,7.0,0.0,12.0,0.0
2024-04-23,39.0,28.0,34.0,12.0,8.0,8.0,1.0,14.0,6.0
2024-04-22,40.0,26.0,34.0,11.0,6.0,7.0,0.0,14.0,3.0
2024-04-24,40.0,27.0,36.0,11.0,8.0,7.0,0.0,14.0,0.0
2024-04-17,38.0,28.0,33.0,9.0,8.0,5.0,0.0,14.0,0.0
2024-04-15,41.0,28.0,30.0,5.0,9.0,5.0,0.0,17.0,0.0
2024-04-22,40.0,28.0,30.0,9.0,8.0,7.0,0.0,14.0,2.0
2024-04-23,38.0,28.0,35.0,9.0,6.0,6.0,0.0,11.0,2.0
2024-04-19,40.0,30.0,34.0,9.0,7.0,6.0,0.0,14.0,1.0
2024-04-19,39.0,28.0,34.0,9.0,6.0,6.0,0.0,12.0,1.0
2024-04-21,40.0,27.0,32.0,11.0,6.0,5.0,,13.0,1.0
2024-04-10,39.0,26.0,34.0,11.0,5.0,7.0,0.0,13.0,0.0
2024-03-29,38.0,29.0,32.0,8.0,8.0,6.0,,14.0,
2024-03-25,38.0,28.0,33.0,11.0,5.0,8.0,0.0,12.0,0.0
2024-03-22,41.0,28.0,29.0,9.0,10.0,7.0,0.0,15.0,0.0
2024-03-20,41.0,26.0,29.0,8.0,9.0,7.0,0.0,15.0,
2024-03-21,38.0,29.0,28.0,11.0,10.0,8.0,0.0,11.0,
2024-03-18,36.0,29.0,31.0,8.0,8.0,8.0,,13.0,2.0
2024-03-16,42.0,28.0,33.0,11.0,5.0,4.0,,12.0,
2024-03-15,38.0,32.0,32.0,9.0,9.0,9.0,,14.0,3.0
2024-03-07,29.0,20.0,18.0,9.0,10.0,7.0,2.0,10.0,
2024-03-16,37.0,31.0,33.0,10.0,6.0,7.0,0.0,13.0,
2024-02-26,39.0,30.0,33.0,11.0,5.0,8.0,0.0,9.0,0.0
2024-02-21,39.0,29.0,32.0,10.0,5.0,8.0,0.0,12.0,0.0
2024-01-10,39.0,32.0,28.0,11.0,6.0,7.0,0.0,12.0,
2023-11-28,40.0,33.0,27.0,12.0,7.0,7.0,0.0,9.0,
2023-11-07,31.0,22.0,15.0,7.0,11.0,6.0,1.0,12.0,
2023-10-10,36.0,28.0,31.0,12.0,9.0,8.0,0.0,11.0,
2023-09-09,36.0,31.0,31.0,7.0,10.0,7.0,,13.0,
2023-06-26,26.0,23.0,18.0,8.0,9.0,8.0,2.0,12.0,
2023-03-24,27.0,22.0,17.0,8.0,9.0,8.0,5.0,9.0,
2022-12-10,32.0,36.0,24.0,12.0,10.0,10.0,0.0,8.0,
2022-10-21,27.0,22.0,15.0,7.0,8.0,8.0,4.0,11.0,
2022-10-14,38.0,33.0,30.0,9.0,8.0,11.0,0.0,10.0,
2022-10-13,31.0,35.0,25.0,12.0,9.0,10.0,0.0,8.0,
2022-07-07,29.0,23.0,17.0,6.0,6.0,8.0,6.0,10.0,
2022-05-30,31.0,38.0,26.0,12.0,8.0,10.0,0.0,7.0,
2022-05-19,35.0,34.0,26.0,12.0,11.0,10.0,4.0,7.0,
2022-05-12,36.0,33.0,25.0,12.0,9.0,10.0,3.0,7.0,
2022-03-28,29.0,25.0,18.0,10.0,9.0,9.0,5.0,8.0,
2021-10-14,35.0,38.0,27.0,10.0,7.0,10.0,0.0,8.0,
2021-09-22,34.0,40.0,27.0,10.0,10.0,7.0,3.0,7.0,
