Date,Ishiba,Koizumi,Kono,Takaichi,Kamikawa,Kobayashi,Motegi,Hayashi,Kato,Other
2024-09-14,28.888888888888886,17.77777777777778,3.3333333333333335,27.77777777777778,6.666666666666667,6.666666666666667,2.2222222222222223,5.555555555555555,1.1111111111111112,
2024-09-12,27.173913043478258,20.652173913043477,3.260869565217391,23.91304347826087,9.782608695652174,5.434782608695652,3.260869565217391,5.434782608695652,1.0869565217391304,
2024-09-08,27.46730083234245,33.88822829964329,7.60998810939358,10.93935790725327,7.253269916765754,3.329369797859691,2.4970273483947687,2.1403091557669445,0.5945303210463734,4.280618311533889
2024-09-09,33.98876404494382,35.81460674157303,6.882022471910113,11.938202247191011,2.9494382022471908,4.073033707865168,1.9662921348314606,1.9662921348314606,0.42134831460674155,
2024-09-08,34.026927784577715,27.66217870257038,7.466340269277843,11.383108935128519,5.140758873929007,4.406364749082006,2.0807833537331697,2.3255813953488365,0.8567931456548346,4.651162790697673
2024-09-04,31.11111111111111,20.0,3.3333333333333335,18.88888888888889,7.777777777777778,5.555555555555555,2.2222222222222223,4.444444444444445,2.2222222222222223,4.444444444444445
2024-09-01,33.400809716599184,23.481781376518214,8.704453441295543,15.18218623481781,5.870445344129553,2.6315789473684204,1.4170040485829953,1.4170040485829953,0.40485829959514164,7.4898785425101195
2024-08-25,29.166666666666668,29.166666666666668,8.333333333333332,11.11111111111111,8.333333333333332,6.944444444444445,2.7777777777777777,1.3888888888888888,1.3888888888888888,1.3888888888888888
2024-08-25,33.75,28.749999999999996,7.5,11.25,7.5,7.5,1.25,1.25,,1.25
2024-08-25,36.25,20.0,6.25,16.25,7.5,8.75,1.25,1.25,1.25,1.25
2024-08-25,28.309305373525568,29.357798165137623,10.091743119266058,14.154652686762784,5.504587155963304,4.718217562254261,1.703800786369594,1.3106159895150724,0.7863695937090434,4.062909567496725
2024-08-25,29.333333333333332,26.666666666666668,9.333333333333334,13.333333333333334,8.0,6.666666666666667,2.666666666666667,1.3333333333333335,1.3333333333333335,1.3333333333333335
2024-08-22,22.78481012658228,29.11392405063291,8.860759493670885,13.924050632911392,7.59493670886076,10.126582278481013,1.2658227848101267,2.5316455696202533,1.2658227848101267,2.5316455696202533
2024-08-19,33.28947368421053,25.789473684210527,12.76315789473684,13.289473684210526,10.0,4.86842105263158,,,,
2024-08-18,31.041666666666668,16.25,10.833333333333334,16.458333333333332,6.25,2.9166666666666665,1.25,,,15.0
2024-08-18,34.76702508960574,17.56272401433692,6.929510155316608,15.053763440860216,7.407407407407408,6.8100358422939085,2.389486260454003,,,9.08004778972521
