Date,"Majorité (N-VA, MR, LE, Vooruit, CD&V)","Opposition (VB, PS, PTB-PVDA, Open Vld, Groen, Ecolo)"
2025-06-03,77.0,73.0
2025-05-23,83.0,67.0
2025-03-11,75.0,75.0
2024-11-21,79.0,71.0
2024-09-17,81.0,69.0
2024-06-09,81.0,69.0
