Date,left (PVDA-PTB),"green (Ecolo,Groen)","socialist (PS,Vooruit)","liberal (MR,Open vld,LE,DéFI)",christian (cd&v),flemish (N-VA),far right (VB)
2024-03-18,19.0,14.0,26.0,33.0,11.0,20.0,27.0
2024-02-08,21.0,17.0,29.0,29.0,10.0,19.0,25.0
2023-12-11,19.0,17.0,29.0,29.0,10.0,21.0,25.0
2023-10-09,20.0,15.0,35.0,28.0,10.0,21.0,21.0
2023-09-25,20.0,14.0,30.0,31.0,10.0,19.0,26.0
2023-06-06,21.0,15.0,36.0,26.0,10.0,20.0,22.0
2023-03-27,18.0,15.0,34.0,29.0,10.0,20.0,24.0
2023-01-29,17.0,19.0,33.0,30.0,6.0,21.0,24.0
2022-11-29,18.0,16.0,34.0,29.0,8.0,20.0,25.0
2022-09-13,18.0,17.0,33.0,33.0,9.0,20.0,20.0
2022-06-14,20.0,16.0,31.0,28.0,9.0,25.0,21.0
2022-03-22,21.0,18.0,29.0,28.0,10.0,23.0,21.0
2021-12-08,19.0,17.0,28.0,32.0,10.0,20.0,24.0
2021-09-14,18.0,22.0,26.0,31.0,11.0,20.0,22.0
2021-06-01,17.0,19.0,29.0,31.0,9.0,20.0,25.0
2021-03-09,19.0,19.0,27.0,32.0,11.0,20.0,22.0
2020-12-08,17.0,17.0,29.0,32.0,10.0,20.0,25.0
2020-10-08,16.0,19.0,29.0,30.0,10.0,21.0,25.0
2020-06-15,17.0,19.0,29.0,29.0,10.0,20.0,26.0
2020-03-09,19.0,21.0,26.0,29.0,10.0,19.0,26.0
2019-12-06,18.0,22.0,24.0,29.0,10.0,20.0,27.0
2019-09-10,14.0,22.0,23.0,34.0,11.0,21.0,25.0
2019-05-26,12.0,21.0,29.0,33.0,12.0,25.0,18.0
