Date,Approval,Disapproval
2025-01-20,,
2025-01-20,,
2025-01-13,,
2025-01-10,,
2025-01-03,,
2024-12-23,,
2024-12-20,,
2024-12-16,,
2024-12-13,,
2024-12-10,,
2024-12-04,,
2024-11-29,,
2024-11-27,,
2024-11-27,,
2024-11-18,,
2024-11-14,12.0,12.0
2024-11-13,,
2024-11-11,17.0,26.0
2024-11-11,,
2024-11-10,7.0,14.0
2024-10-31,,
2024-10-31,,
2024-10-20,15.0,20.0
2024-10-18,,
2024-10-10,,
2024-10-07,,
2024-10-07,,
2024-10-06,,
2024-10-04,,
2024-10-03,,
2024-09-27,,
2024-09-25,,
2024-09-22,,
2024-09-20,,
2024-09-09,,
2024-08-29,,
2024-08-27,,
2024-08-16,,
2024-08-08,14.0,28.0
2024-08-07,,
2024-08-06,,
2024-08-02,19.0,17.0
2024-07-31,9.0,12.0
2024-07-26,16.0,34.0
2024-07-19,21.0,15.0
2024-07-12,,
2024-07-08,13.0,16.0
2024-07-06,,
