Date,Approval,Disapproval
2024-10-06,24.0,66.0
2024-09-27,20.0,46.0
2024-09-25,17.0,52.0
2024-09-22,24.0,68.0
2024-09-20,21.0,46.0
2024-09-09,,
2024-08-29,22.0,46.0
2024-08-27,17.0,58.0
2024-08-16,20.0,50.0
2024-08-08,22.0,57.0
2024-08-07,19.0,42.0
2024-08-06,23.0,71.0
2024-08-02,18.0,48.0
2024-07-31,23.0,70.0
2024-07-26,25.0,61.0
2024-07-19,20.0,42.0
2024-07-14,,
2024-07-12,21.0,31.0
2024-07-08,23.0,70.0
2024-07-06,21.0,57.0
