Date,Approval,Disapproval
2025-04-07,20.0,28.0
2025-04-01,,
2025-03-31,17.0,27.0
2025-03-28,20.0,22.0
2025-03-27,23.0,16.0
2025-03-24,16.0,27.0
2025-03-21,22.0,21.0
2025-03-17,27.0,33.0
2025-03-17,24.0,30.0
2025-03-17,,
2025-03-17,17.0,24.0
2025-03-14,,
2025-03-11,25.0,31.0
2025-03-10,17.0,25.0
2025-03-09,22.0,25.0
2025-03-07,23.0,21.0
2025-03-05,27.0,32.0
2025-03-03,,
2025-03-03,16.0,26.0
2025-02-26,23.0,18.0
2025-02-24,,
2025-02-21,21.0,22.0
2025-02-18,,
2025-02-18,16.0,26.0
2025-02-17,27.0,32.0
2025-02-11,21.0,33.0
2025-02-10,19.0,24.0
2025-02-07,22.0,21.0
2025-02-03,15.0,24.0
2025-01-29,22.0,18.0
2025-01-29,28.0,25.0
2025-01-27,15.0,24.0
2025-01-24,21.0,21.0
2025-01-20,15.0,24.0
2025-01-20,,
2025-01-13,25.0,27.0
2025-01-13,,
2025-01-10,22.0,20.0
2025-01-03,,
2024-12-23,,
2024-12-20,23.0,20.0
2024-12-16,29.0,23.0
2024-12-13,,
2024-12-10,17.0,25.0
2024-12-04,30.0,27.0
2024-11-29,22.0,21.0
2024-11-27,23.0,18.0
2024-11-27,,
2024-11-18,,
2024-11-14,20.0,21.0
2024-11-13,23.0,19.0
2024-11-11,21.0,31.0
2024-11-11,16.0,21.0
2024-11-10,24.0,31.0
2024-10-31,19.0,19.0
2024-10-31,23.0,19.0
2024-10-20,22.0,28.0
2024-10-18,22.0,20.0
2024-10-10,,
2024-10-07,,
2024-10-07,,
2024-10-06,25.0,32.0
2024-10-04,21.0,21.0
2024-10-03,21.0,20.0
2024-09-27,22.0,23.0
2024-09-25,,
2024-09-22,27.0,36.0
2024-09-20,24.0,21.0
2024-09-09,,
2024-08-29,19.0,21.0
2024-08-27,,
2024-08-16,21.0,21.0
2024-08-08,18.0,36.0
2024-08-07,21.0,16.0
2024-08-06,,
2024-08-02,24.0,19.0
2024-07-31,27.0,33.0
2024-07-26,21.0,36.0
2024-07-19,25.0,18.0
2024-07-12,,
2024-07-08,34.0,29.0
2024-07-06,29.0,26.0
