Date,Approval,Disapproval
2025-06-02,41.0,38.0
2025-06-02,31.0,39.0
2025-05-30,31.0,42.0
2025-05-29,34.0,32.0
2025-05-26,32.0,38.0
2025-05-19,33.0,39.0
2025-05-16,33.0,38.0
2025-05-14,32.0,59.0
2025-05-13,31.0,50.0
2025-05-12,32.0,36.0
2025-05-08,35.0,32.0
2025-05-05,,
2025-05-05,36.0,39.0
2025-05-04,32.0,35.0
2025-05-02,26.0,43.0
2025-04-27,28.0,39.0
2025-04-25,29.0,41.0
2025-04-21,25.0,42.0
2025-04-14,27.0,65.0
2025-04-14,25.0,41.0
2025-04-14,29.0,44.0
2025-04-11,28.0,43.0
2025-04-10,,
2025-04-08,35.0,42.0
2025-04-07,29.0,47.0
2025-04-07,,
2025-04-07,27.0,41.0
2025-04-01,,
2025-03-31,26.0,41.0
2025-03-28,26.0,42.0
2025-03-27,29.0,36.0
2025-03-26,28.0,43.0
2025-03-24,25.0,42.0
2025-03-21,28.0,40.0
2025-03-17,27.0,65.0
2025-03-17,29.0,49.0
2025-03-17,,
2025-03-17,26.0,40.0
2025-03-14,,
2025-03-11,26.0,65.0
2025-03-10,25.0,43.0
2025-03-09,33.0,42.0
2025-03-07,29.0,39.0
2025-03-05,30.0,60.0
2025-03-03,,
2025-03-03,26.0,41.0
2025-02-26,32.0,33.0
2025-02-24,26.0,38.0
2025-02-21,30.0,38.0
2025-02-21,35.0,42.0
2025-02-18,,
2025-02-18,30.0,38.0
2025-02-17,30.0,60.0
2025-02-11,31.0,46.0
2025-02-10,29.0,40.0
2025-02-07,31.0,38.0
2025-02-03,26.0,38.0
2025-01-29,32.0,35.0
2025-01-29,35.0,42.0
2025-01-27,27.0,39.0
2025-01-24,32.0,39.0
2025-01-20,27.0,39.0
2025-01-20,,
2025-01-13,26.0,51.0
2025-01-13,25.0,42.0
2025-01-10,30.0,39.0
2025-01-03,,
2024-12-23,,
2024-12-20,29.0,38.0
2024-12-16,37.0,37.0
2024-12-13,28.0,62.0
2024-12-10,27.0,38.0
2024-12-04,,
2024-11-29,29.0,38.0
2024-11-27,27.0,34.0
2024-11-27,25.0,41.0
2024-11-18,,
2024-11-14,31.0,41.0
2024-11-13,29.0,37.0
2024-11-11,28.0,48.0
2024-11-11,,
2024-11-10,30.0,61.0
2024-10-31,28.0,35.0
2024-10-31,28.0,40.0
2024-10-20,31.0,46.0
2024-10-18,25.0,39.0
2024-10-10,,
2024-10-07,,
2024-10-07,,
2024-10-06,28.0,63.0
2024-10-04,26.0,42.0
2024-10-03,29.0,32.0
2024-09-27,29.0,40.0
2024-09-25,,
2024-09-22,28.0,63.0
2024-09-20,27.0,39.0
2024-09-09,,
2024-08-29,28.0,37.0
2024-08-27,,
2024-08-16,24.0,43.0
2024-08-08,29.0,44.0
2024-08-07,23.0,37.0
2024-08-06,25.0,67.0
2024-08-02,25.0,40.0
2024-07-31,27.0,62.0
2024-07-26,30.0,50.0
2024-07-19,,
2024-07-12,,
2024-07-08,27.0,65.0
2024-07-06,26.0,52.0
