Date,Boris,Starmer,Unsure
2020-12-16,30.0,35.0,33.0
2020-12-13,39.0,31.0,30.0
2020-12-08,32.0,30.0,15.0
2020-12-07,39.0,36.0,25.0
2020-12-04,32.0,30.0,14.0
2020-12-03,29.0,33.0,35.0
2020-12-02,43.0,32.0,26.0
2020-11-27,29.0,34.0,35.0
2020-11-20,31.0,30.0,15.0
2020-11-19,39.0,34.0,26.0
2020-11-18,29.0,34.0,34.0
2020-11-15,41.0,31.0,28.0
2020-11-12,28.0,34.0,36.0
2020-11-11,40.0,36.0,24.0
2020-11-06,31.0,33.0,13.0
2020-11-06,40.0,33.0,27.0
2020-11-05,26.0,36.0,36.0
2020-10-28,39.0,34.0,27.0
2020-10-23,30.0,31.0,16.0
2020-10-22,29.0,35.0,33.0
2020-10-21,39.0,34.0,26.0
2020-10-18,40.0,31.0,29.0
2020-10-15,29.0,35.0,33.0
2020-10-09,32.0,33.0,14.0
2020-10-07,42.0,35.0,23.0
2020-10-07,29.0,33.0,35.0
2020-10-06,37.0,38.0,25.0
2020-10-01,41.0,36.0,23.0
2020-09-30,27.0,36.0,35.0
2020-09-25,32.0,36.0,15.0
2020-09-24,30.0,37.0,30.0
2020-09-23,42.0,36.0,22.0
2020-09-20,41.0,35.0,24.0
2020-09-17,30.0,35.0,31.0
2020-09-16,39.0,39.0,23.0
2020-09-16,43.0,35.0,22.0
2020-09-11,33.0,32.0,14.0
2020-09-04,31.0,34.0,31.0
2020-09-04,41.0,36.0,23.0
2020-08-28,34.0,32.0,16.0
2020-08-24,42.0,33.0,25.0
2020-08-25,30.0,33.0,34.0
2020-08-19,41.0,35.0,24.0
2020-08-19,31.0,35.0,31.0
2020-08-16,43.0,30.0,27.0
2020-08-14,34.0,33.0,14.0
2020-08-12,47.0,33.0,20.0
2020-08-12,32.0,32.0,32.0
2020-08-05,32.0,34.0,31.0
2020-08-03,42.0,35.0,23.0
2020-07-31,35.0,34.0,14.0
2020-07-29,48.0,32.0,20.0
2020-07-24,35.0,33.0,16.0
2020-07-22,45.0,33.0,22.0
2020-07-19,40.0,31.0,29.0
2020-07-17,36.0,34.0,14.0
2020-07-15,48.0,33.0,19.0
2020-07-12,43.0,33.0,22.0
2020-07-10,36.0,33.0,16.0
2020-07-08,46.0,35.0,18.0
2020-07-06,41.0,37.0,22.0
2020-07-03,34.0,33.0,15.0
2020-07-01,49.0,33.0,18.0
2020-06-26,35.0,37.0,14.0
2020-06-25,50.0,31.0,19.0
2020-06-25,46.0,30.0,24.0
2020-06-19,35.0,34.0,15.0
2020-06-18,43.0,31.0,26.0
2020-06-14,46.0,26.0,28.0
2020-06-12,36.0,35.0,13.0
2020-06-12,33.0,33.0,31.0
2020-06-10,43.0,33.0,24.0
2020-06-10,43.0,38.0,19.0
2020-06-05,36.0,35.0,13.0
2020-06-03,44.0,35.0,21.0
2020-05-30,37.0,32.0,28.0
2020-05-29,36.0,33.0,14.0
2020-05-26,48.0,31.0,21.0
2020-05-22,39.0,31.0,16.0
2020-05-19,39.0,27.0,29.0
2020-05-14,42.0,28.0,15.0
2020-05-07,44.0,23.0,17.0
2020-05-01,45.0,23.0,16.0
2020-04-23,44.0,23.0,16.0
2020-04-17,46.0,22.0,28.0
2020-04-17,48.0,22.0,16.0
