Date,Keir Starmer,Rishi Sunak
2023-04-16,0.5068493150684932,0.4931506849315068
2023-04-14,0.509090909090909,0.4909090909090909
2023-04-13,0.5,0.5
2023-04-09,0.5131578947368421,0.4868421052631579
2023-04-06,0.5625,0.4375
2023-04-06,0.5185185185185185,0.48148148148148145
2023-04-06,0.543859649122807,0.45614035087719296
2023-04-02,0.5205479452054794,0.4794520547945205
2023-03-31,0.5272727272727272,0.4727272727272727
2023-03-30,0.5357142857142857,0.4642857142857143
2023-03-29,0.5857142857142857,0.4142857142857143
2023-03-29,0.4931506849315068,0.5068493150684932
2023-03-26,0.52,0.48
2023-03-24,0.4788732394366197,0.5211267605633803
2023-03-24,0.5066666666666667,0.49333333333333335
2023-03-22,0.5535714285714286,0.44642857142857145
2023-03-19,0.5466666666666666,0.4533333333333333
2023-03-17,0.48148148148148145,0.5185185185185185
2023-03-15,0.5294117647058824,0.47058823529411764
2023-03-12,0.49333333333333335,0.5066666666666667
2023-03-12,0.5526315789473685,0.4473684210526316
2023-03-10,0.5588235294117647,0.4411764705882353
2023-03-05,0.5394736842105263,0.4605263157894737
2023-03-03,0.5373134328358209,0.4626865671641791
2023-03-01,0.5423728813559322,0.4576271186440678
2023-02-26,0.5616438356164384,0.4383561643835616
2023-02-22,0.5454545454545454,0.45454545454545453
2023-02-18,0.5616438356164384,0.4383561643835616
2023-02-16,0.5373134328358209,0.4626865671641791
2023-02-12,0.5405405405405406,0.4594594594594595
2023-02-10,0.5714285714285714,0.42857142857142855
2023-02-08,0.5689655172413793,0.43103448275862066
2023-02-05,0.5616438356164384,0.4383561643835616
2023-02-03,0.5483870967741935,0.45161290322580644
2023-02-01,0.5925925925925926,0.4074074074074074
2023-01-29,0.5394736842105263,0.4605263157894737
2023-01-26,0.5555555555555556,0.4444444444444444
2023-01-22,0.5333333333333333,0.4666666666666667
2023-01-19,0.5970149253731343,0.40298507462686567
2023-01-19,0.5352112676056338,0.4647887323943662
2023-01-15,0.5,0.5
2023-01-11,0.5714285714285714,0.42857142857142855
2023-01-08,0.5066666666666667,0.49333333333333335
2023-01-06,0.5,0.5
2023-01-05,0.543859649122807,0.45614035087719296
2023-01-03,0.4864864864864865,0.5135135135135135
2022-12-21,0.5614035087719298,0.43859649122807015
2022-12-15,0.5714285714285714,0.42857142857142855
2022-12-11,0.52,0.48
2022-12-07,0.5471698113207547,0.4528301886792453
2022-12-04,0.5263157894736842,0.47368421052631576
2022-11-30,0.5454545454545454,0.45454545454545453
