Date,Johnson,Starmer,Unsure
15 Nov 2020,41%,31%,28%
12 Nov 2020,28%,34%,36%
11 Nov 2020,40%,36%,24%
6 Nov 2020,31%,33%,13%
6 Nov 2020,40%,33%,27%
5 Nov 2020,26%,36%,36%
28 Oct 2020,39%,34%,27%
23 Oct 2020,30%,31%,16%
22 Oct 2020,29%,35%,33%
21 Oct 2020,39%,34%,26%
18 Oct 2020,40%,31%,29%
15 Oct 2020,29%,35%,33%
9 Oct 2020,32%,33%,14%
7 Oct 2020,42%,35%,23%
7 Oct 2020,29%,33%,35%
6 Oct 2020,37%,38%,25%
 1 Oct 2020,41%,36%,23%
30 Sep 2020,27%,36%,35%
25 Sep 2020,32%,36%,15%
24 Sep 2020,30%,37%,30%
23 Sep 2020,42%,36%,22%
20 Sep 2020,41%,35%,24%
17 Sep 2020,30%,35%,31%
16 Sep 2020,39%,39%,23%
16 Sep 2020,43%,35%,22%
11 Sep 2020,33%,32%,14%
4 Sep 2020,31%,34%,31%
4 Sep 2020,41%,36%,23%
28 Aug 2020,34%,32%,16%
24 Aug 2020,42%,33%,25%
25 Aug 2020,30%,33%,34%
19 Aug 2020,41%,35%,24%
19 Aug 2020,31%,35%,31%
16 Aug 2020,43%,30%,27%
14 Aug 2020,34%,33%,14%
12 Aug 2020,47%,33%,20%
12 Aug 2020,32%,32%,32%
5 Aug 2020,32%,34%,31%
 3 Aug 2020,42%,35%,23%
31 Jul 2020,35%,34%,14%
29 Jul 2020,48%,32%,20%
24 Jul 2020,35%,33%,16%
22 Jul 2020,45%,33%,22%
19 Jul 2020,40%,31%,29%
17 Jul 2020,36%,34%,14%
15 Jul 2020,48%,33%,19%
12 Jul 2020,43%,33%,22%
10 Jul 2020,36%,33%,16%
8 Jul 2020,46%,35%,18%
6 Jul 2020,41%,37%,22%
3 Jul 2020,34%,33%,15%
1 Jul 2020,49%,33%,18%
26 Jun 2020,35%,37%,14%
25 Jun 2020,50%,31%,19%
25 Jun 2020,46%,30%,24%
19 Jun 2020,35%,34%,15%
18 Jun 2020,43%,31%,26%
14 Jun 2020,46%,26%,28%
12 Jun 2020,36%,35%,13%
12 Jun 2020,33%,33%,31%
10 Jun 2020,43%,33%,24%
10 Jun 2020,43%,38%,19%
5 Jun 2020,36%,35%,13%
3 Jun 2020,44%,35%,21%
30 May 2020,37%,32%,28%
29 May 2020,36%,33%,14%
26 May 2020,48%,31%,21%
22 May 2020,39%,31%,16%
19 May 2020,39%,27%,29%
14 May 2020,42%,28%,15%
7 May 2020,44%,23%,17%
 1 May 2020,45%,23%,16%
23 Apr 2020,44%,23%,16%
17 Apr 2020,46%,22%,28%
17 Apr 2020,48%,22%,16%
