Date,Labor,LNP
2025-03-26,54.0,46.0
2025-02-23,49.0,51.0
2024-11-20,50.5,49.5
2024-10-06,50.0,50.0
2024-08-29,50.0,50.0
2024-08-11,49.0,51.0
2024-06-16,52.0,48.0
2024-05-01,50.5,49.5
2024-04-21,52.0,48.0
2024-02-25,51.5,48.5
2023-11-11,57.0,43.0
2023-09-10,54.0,46.0
2023-07-16,58.0,42.0
2023-05-14,60.0,40.0
2023-03-25,54.26,45.74
