Date,Labor,LNP,Green,Other
2024-11-20,37.0,41.0,9.0,13.0
2024-10-06,32.0,37.0,11.0,20.0
2024-08-29,32.0,38.0,12.0,18.0
2024-08-11,30.0,38.0,12.0,20.0
2024-06-16,32.0,35.0,11.0,22.0
2024-05-01,35.0,40.0,11.0,14.0
2024-04-21,33.0,36.0,12.0,19.0
2024-02-25,34.0,38.0,12.0,17.0
2023-11-05,36.0,32.0,13.0,19.0
2023-09-10,38.0,36.0,9.0,17.0
2023-07-16,41.0,32.0,10.0,16.0
2023-05-14,44.0,31.0,9.0,15.0
2023-03-25,36.97,35.37,9.7,16.18
