Date,Union,SPD,Grüne,FDP,Linke,Others
2002-09-22,38.5,38.5,8.6,7.4,4.0,3.0
2002-09-20,37.0,37.5,7.5,9.5,4.5,4.0
2002-09-17,37.3,37.0,7.2,10.1,4.4,4.0
2002-09-11,37.0,37.0,7.3,10.1,4.9,3.7
2002-09-08,38.2,35.2,7.2,11.2,4.9,3.3
2002-09-04,39.1,34.2,7.0,11.6,4.9,3.2
2002-08-28,40.1,32.9,6.5,11.6,5.1,3.8
2002-08-25,39.8,32.8,6.6,11.7,5.0,4.1
2002-08-21,39.7,31.9,6.7,12.8,5.6,3.3
2002-08-14,39.7,33.0,6.2,12.5,5.6,3.0
2002-08-02,38.8,34.2,6.9,12.1,5.6,2.4
2002-07-03,38.3,33.4,6.9,13.1,5.7,1.4
2002-06-12,39.0,32.2,7.1,12.4,6.2,3.1
2002-05-15,38.2,33.2,6.4,12.8,6.2,1.4
2002-04-17,37.0,34.5,6.5,11.9,6.9,1.6
2002-03-20,37.3,34.0,6.6,11.9,6.6,3.6
2002-02-20,36.1,34.1,6.5,13.2,6.6,2.2
2002-01-30,35.8,34.9,6.6,11.1,6.7,4.9
2001-12-19,35.1,35.4,6.6,11.5,6.6,2.2
2001-11-14,34.5,36.7,7.4,10.6,6.4,2.9
2001-10-17,35.7,36.8,7.4,10.9,5.7,2.0
2001-09-19,35.7,35.9,8.0,10.9,6.0,1.8
2001-08-14,34.0,36.1,7.8,11.0,6.4,3.9
2001-07-25,33.0,37.2,7.7,10.8,6.7,2.4
2001-06-20,33.4,37.1,7.9,11.1,6.0,2.9
2001-05-16,33.6,38.1,7.9,10.2,5.7,2.5
2001-04-18,32.9,39.2,7.7,10.2,5.7,2.5
2001-03-14,32.4,39.3,7.5,10.0,6.2,2.3
2001-02-14,32.8,38.7,8.0,9.6,6.1,2.5
2001-01-24,33.1,39.1,7.3,9.7,6.3,3.4
2000-12-20,35.2,38.1,7.4,9.6,6.0,2.6
2000-11-15,33.8,37.8,7.4,9.6,6.1,3.4
2000-10-18,34.0,38.0,6.9,9.5,6.0,3.6
2000-09-27,33.1,39.0,7.4,9.8,6.2,2.9
2000-08-16,32.4,39.0,6.9,10.1,6.3,2.5
2000-07-19,32.3,37.1,7.1,11.5,6.8,3.0
2000-06-14,33.0,35.9,7.9,11.1,6.5,1.8
2000-04-19,32.0,38.6,8.4,8.4,7.1,2.1
2000-03-22,31.3,39.8,8.5,7.9,7.1,2.3
2000-02-23,31.3,40.3,8.0,7.7,6.7,3.5
2000-01-19,37.8,36.9,7.5,6.3,6.5,3.3
1999-12-15,41.6,32.3,7.5,6.4,7.1,1.7
1999-11-17,44.7,30.4,6.9,6.9,6.8,2.7
1999-10-13,44.5,30.8,6.8,5.9,7.2,2.5
1999-09-15,42.0,32.9,7.2,6.6,7.0,1.7
1999-08-18,42.2,32.6,7.4,6.6,6.0,2.1
1999-07-21,43.3,32.6,6.7,7.0,5.9,2.0
1999-06-16,39.7,35.6,6.6,7.7,5.8,2.7
1999-05-19,36.8,37.3,7.8,7.0,5.9,1.8
1999-04-14,37.9,37.6,6.5,7.5,5.5,2.7
1999-03-17,38.7,37.0,6.8,7.4,5.7,2.7
1998-12-16,36.3,39.4,7.2,6.0,,
1998-09-27,35.1,40.9,6.7,6.2,5.1,4.0
2002-09-22,38.5,38.5,8.6,7.4,4.0,3.0
2002-09-13,37.0,40.0,7.0,7.5,4.5,4.0
2002-09-06,38.0,38.0,7.0,8.0,4.0,5.0
2002-08-30,39.0,38.0,7.0,8.0,4.0,4.0
2002-08-23,39.0,38.0,7.0,9.0,4.0,3.0
2002-08-16,41.0,36.0,7.0,9.0,4.0,3.0
2002-08-09,41.0,36.0,6.0,9.0,5.0,3.0
2002-07-26,41.0,36.0,6.0,9.0,5.0,3.0
2002-07-12,40.0,37.0,6.0,8.0,5.0,4.0
2002-06-28,39.0,36.0,7.0,9.0,5.0,4.0
2002-06-14,39.0,35.0,7.0,10.0,5.0,4.0
2002-05-31,40.0,35.0,6.0,9.0,5.0,5.0
2002-05-10,41.0,36.0,6.0,8.0,5.0,4.0
2002-04-26,41.0,36.0,6.0,8.0,5.0,4.0
2002-04-12,41.0,36.0,6.0,8.0,5.0,4.0
2002-03-22,40.0,36.0,6.0,8.0,6.0,4.0
2002-03-08,41.0,37.0,5.0,8.0,5.0,4.0
2002-02-22,40.0,38.0,5.0,8.0,5.0,4.0
2002-02-08,40.0,39.0,4.0,8.0,6.0,3.0
2002-01-18,40.0,38.0,5.0,7.0,6.0,4.0
2002-01-11,39.0,39.0,5.0,7.0,6.0,4.0
2001-12-14,37.0,41.0,5.0,7.0,6.0,4.0
2001-11-15,38.0,41.0,5.0,7.0,6.0,3.0
