Date,Union,SPD,Grüne,FDP,Linke,Others
2009-09-27,33.8,23.0,10.7,14.6,11.9,6.0
2009-09-22,35.0,24.0,11.0,13.5,11.5,5.0
2009-09-15,36.0,22.5,12.0,12.5,12.0,5.0
2009-09-09,35.0,22.5,13.0,13.0,11.5,5.0
2009-09-01,35.5,23.0,13.5,14.0,9.5,4.5
2009-08-18,36.5,23.0,13.0,14.5,9.0,4.0
2009-07-21,36.5,24.0,12.0,13.5,10.0,4.0
2009-06-16,36.0,24.5,11.5,14.5,9.5,4.0
2009-05-19,36.5,26.0,10.5,13.5,9.5,4.0
2009-04-21,37.5,24.5,10.5,13.5,10.0,4.0
2009-03-24,34.8,26.1,10.5,14.5,10.0,4.1
2009-02-24,35.6,24.7,11.0,14.8,10.8,3.1
2009-01-27,36.1,26.9,9.6,12.1,11.5,3.8
2008-12-17,36.9,25.9,9.7,11.3,12.5,3.7
2008-11-19,36.1,26.6,10.8,11.2,11.3,4.0
2008-10-21,35.5,25.8,10.3,12.2,12.6,3.6
2008-09-17,36.2,26.6,10.3,11.3,11.5,4.1
2008-08-19,36.1,26.5,9.5,11.3,13.0,3.6
2008-07-22,36.3,26.8,10.1,11.4,12.0,3.4
2008-06-24,35.0,25.6,10.7,11.9,12.8,4.0
2008-05-20,35.2,28.2,9.7,11.3,11.9,3.7
2008-04-22,36.4,26.8,10.6,11.0,11.7,3.5
2008-03-18,36.0,27.5,9.9,10.8,12.2,3.6
2008-02-19,34.8,28.3,8.9,11.8,11.8,4.4
2008-01-22,37.0,29.0,9.3,11.1,9.8,3.8
2007-12-18,37.9,28.0,9.5,10.4,10.6,3.6
2007-11-14,38.0,28.6,9.2,11.0,10.1,3.1
2007-10-16,37.7,27.1,10.0,10.0,11.5,3.7
2007-09-19,38.0,26.8,9.6,10.8,11.3,3.5
2007-08-14,36.8,27.1,10.3,10.5,11.1,4.2
2007-07-17,37.0,28.3,9.7,9.4,12.5,3.1
2007-06-13,35.0,29.2,10.3,10.5,10.3,4.7
2007-05-16,36.4,29.7,8.6,12.5,9.3,3.5
2007-04-17,36.7,30.7,8.4,11.5,10.4,2.3
2007-03-21,35.1,30.0,10.6,11.4,9.6,3.3
2007-02-21,34.3,30.8,9.9,12.7,9.2,3.1
2007-01-23,34.7,29.8,10.1,12.4,9.9,3.1
2006-12-20,33.6,30.4,9.9,12.4,9.7,4.0
2006-11-14,31.2,30.1,10.4,13.3,10.2,4.8
2006-10-17,31.6,30.4,11.0,12.8,9.3,4.9
2006-09-20,35.8,28.8,10.9,11.3,9.9,3.3
2006-08-16,33.3,29.3,9.9,12.5,10.3,4.7
2006-07-19,36.6,28.2,9.2,12.1,9.2,4.7
2006-06-21,35.3,30.5,9.2,11.5,10.3,3.2
2006-05-17,37.5,30.7,7.5,10.6,9.9,3.8
2006-04-12,37.5,30.2,8.3,10.6,9.3,4.1
2006-03-15,38.3,30.3,8.1,11.0,9.4,2.9
2006-02-22,37.2,31.9,7.9,9.8,9.4,3.8
2006-01-25,37.8,30.8,8.4,9.8,8.7,4.5
2005-12-21,36.3,32.6,8.2,10.3,9.1,3.5
2005-11-23,35.7,32.6,8.0,10.7,8.9,4.1
2005-10-19,36.4,33.2,8.3,9.6,9.1,3.4
2005-09-18,35.2,34.2,8.1,9.8,8.7,3.9
2009-09-27,33.8,23.0,10.7,14.6,11.9,6.0
2009-09-18,36.0,25.0,11.0,13.0,11.0,4.0
2009-08-24,37.0,23.0,13.0,13.0,9.0,5.0
2009-07-17,36.0,24.0,13.0,14.0,9.0,4.0
2009-06-18,36.0,25.0,11.0,14.0,10.0,4.0
