Date,Starmer,Sunak
2024-10-20,0.5492957746478874,0.4507042253521127
2024-10-04,0.5681818181818182,0.4318181818181818
2024-09-27,0.6,0.4
2024-09-20,0.6086956521739131,0.391304347826087
2024-08-30,0.6938775510204082,0.30612244897959184
2024-08-16,0.6923076923076923,0.3076923076923077
2024-08-02,0.7307692307692307,0.2692307692307692
2024-07-19,0.7254901960784313,0.27450980392156865
2024-03-31,0.5972222222222222,0.4027777777777778
2024-03-24,0.5774647887323944,0.4225352112676056
2024-03-17,0.6056338028169014,0.39436619718309857
2024-03-03,0.5694444444444444,0.4305555555555556
2024-02-25,0.5915492957746479,0.4084507042253521
2024-02-18,0.6111111111111112,0.3888888888888889
2024-02-11,0.6081081081081081,0.3918918918918919
2024-02-04,0.6081081081081081,0.3918918918918919
2024-01-28,0.5945945945945946,0.40540540540540543
2024-01-21,0.5915492957746479,0.4084507042253521
2024-01-14,0.5694444444444444,0.4305555555555556
2024-01-07,0.6,0.4
2023-12-17,0.5492957746478874,0.4507042253521127
2023-12-10,0.5833333333333334,0.4166666666666667
2023-12-03,0.5753424657534246,0.4246575342465753
2023-11-26,0.581081081081081,0.4189189189189189
2023-11-19,0.6056338028169014,0.39436619718309857
2023-11-12,0.5694444444444444,0.4305555555555556
2023-11-05,0.5753424657534246,0.4246575342465753
2023-10-29,0.5945945945945946,0.40540540540540543
2023-10-22,0.5866666666666667,0.41333333333333333
2023-10-15,0.5733333333333334,0.4266666666666667
2023-10-08,0.5675675675675675,0.43243243243243246
2023-10-01,0.5616438356164384,0.4383561643835616
2023-09-24,0.5584415584415584,0.44155844155844154
2023-09-17,0.5753424657534246,0.4246575342465753
2023-09-10,0.6056338028169014,0.39436619718309857
2023-09-03,0.6133333333333333,0.38666666666666666
2023-08-27,0.5641025641025641,0.4358974358974359
2023-08-20,0.547945205479452,0.4520547945205479
2023-08-13,0.5657894736842105,0.4342105263157895
2023-08-06,0.5352112676056338,0.4647887323943662
2023-07-30,0.5633802816901409,0.43661971830985913
2023-07-23,0.5512820512820513,0.44871794871794873
2023-07-16,0.5584415584415584,0.44155844155844154
2023-07-09,0.5675675675675675,0.43243243243243246
2023-07-02,0.5277777777777778,0.4722222222222222
2023-06-25,0.547945205479452,0.4520547945205479
2023-06-18,0.5540540540540541,0.44594594594594594
2023-06-11,0.5657894736842105,0.4342105263157895
2023-06-04,0.5316455696202531,0.46835443037974683
2023-05-28,0.5526315789473685,0.4473684210526316
2023-05-21,0.5277777777777778,0.4722222222222222
2023-05-14,0.5324675324675324,0.4675324675324675
2023-05-12,0.6029411764705882,0.39705882352941174
2023-05-07,0.5394736842105263,0.4605263157894737
2023-05-05,0.6029411764705882,0.39705882352941174
2023-04-30,0.5256410256410257,0.47435897435897434
2023-04-23,0.5277777777777778,0.4722222222222222
2023-04-16,0.5068493150684932,0.4931506849315068
2023-04-14,0.509090909090909,0.4909090909090909
2023-04-13,0.5,0.5
2023-04-09,0.5131578947368421,0.4868421052631579
2023-04-06,0.5625,0.4375
2023-04-06,0.5185185185185185,0.48148148148148145
2023-04-06,0.543859649122807,0.45614035087719296
2023-04-02,0.5205479452054794,0.4794520547945205
2023-03-31,0.5272727272727272,0.4727272727272727
2023-03-30,0.5357142857142857,0.4642857142857143
2023-03-29,0.5857142857142857,0.4142857142857143
2023-03-29,0.4931506849315068,0.5068493150684932
2023-03-26,0.52,0.48
2023-03-24,0.4788732394366197,0.5211267605633803
2023-03-24,0.5066666666666667,0.49333333333333335
2023-03-22,0.5535714285714286,0.44642857142857145
2023-03-19,0.5466666666666666,0.4533333333333333
2023-03-17,0.48148148148148145,0.5185185185185185
2023-03-15,0.5294117647058824,0.47058823529411764
2023-03-12,0.49333333333333335,0.5066666666666667
2023-03-12,0.5526315789473685,0.4473684210526316
2023-03-10,0.5588235294117647,0.4411764705882353
2023-03-05,0.5394736842105263,0.4605263157894737
2023-03-03,0.5373134328358209,0.4626865671641791
2023-03-01,0.5423728813559322,0.4576271186440678
2023-02-26,0.5616438356164384,0.4383561643835616
2023-02-22,0.5454545454545454,0.45454545454545453
2023-02-18,0.5616438356164384,0.4383561643835616
2023-02-16,0.5373134328358209,0.4626865671641791
2023-02-12,0.5405405405405406,0.4594594594594595
2023-02-10,0.5714285714285714,0.42857142857142855
2023-02-08,0.5689655172413793,0.43103448275862066
2023-02-05,0.5616438356164384,0.4383561643835616
2023-02-03,0.5483870967741935,0.45161290322580644
2023-02-01,0.5925925925925926,0.4074074074074074
2023-01-29,0.5394736842105263,0.4605263157894737
2023-01-26,0.5555555555555556,0.4444444444444444
2023-01-22,0.5333333333333333,0.4666666666666667
2023-01-19,0.5970149253731343,0.40298507462686567
2023-01-19,0.5352112676056338,0.4647887323943662
2023-01-15,0.5,0.5
2023-01-11,0.5714285714285714,0.42857142857142855
2023-01-08,0.5066666666666667,0.49333333333333335
2023-01-06,0.5,0.5
2023-01-05,0.543859649122807,0.45614035087719296
2023-01-03,0.4864864864864865,0.5135135135135135
2022-12-21,0.5614035087719298,0.43859649122807015
2022-12-15,0.5714285714285714,0.42857142857142855
2022-12-11,0.52,0.48
2022-12-07,0.5471698113207547,0.4528301886792453
2022-12-04,0.5263157894736842,0.47368421052631576
2022-11-30,0.5454545454545454,0.45454545454545453
