Date,Johnson,Starmer
2022-05-15,0.4520547945205479,0.547945205479452
2022-05-08,0.4507042253521127,0.5492957746478874
2022-05-06,0.45,0.55
2022-05-01,0.4852941176470588,0.5147058823529411
2022-04-27,0.4262295081967213,0.5737704918032787
2022-04-26,0.4520547945205479,0.547945205479452
2022-04-24,0.4444444444444444,0.5555555555555556
2022-04-22,0.4909090909090909,0.509090909090909
2022-04-20,0.4426229508196721,0.5573770491803278
2022-04-17,0.4583333333333333,0.5416666666666666
2022-04-14,0.4533333333333333,0.5466666666666666
2022-04-10,0.4794520547945205,0.5205479452054794
2022-04-08,0.49019607843137253,0.5098039215686274
2022-04-07,0.46551724137931033,0.5344827586206896
2022-04-03,0.5,0.5
2022-03-30,0.4576271186440678,0.5423728813559322
2022-03-30,0.4861111111111111,0.5138888888888888
2022-03-27,0.5352112676056338,0.4647887323943662
2022-03-25,0.5098039215686274,0.49019607843137253
2022-03-23,0.4745762711864407,0.5254237288135594
2022-03-20,0.5135135135135135,0.4864864864864865
2022-03-13,0.4927536231884058,0.5072463768115942
2022-03-11,0.5094339622641509,0.49056603773584906
2022-03-07,0.527027027027027,0.47297297297297297
2022-03-04,0.4406779661016949,0.559322033898305
2022-02-25,0.43333333333333335,0.5666666666666667
2022-02-21,0.4393939393939394,0.5606060606060606
2022-02-11,0.48,0.52
2022-02-02,0.4166666666666667,0.5833333333333334
2022-01-31,0.4189189189189189,0.581081081081081
2022-01-25,0.3875,0.6125
2022-01-21,0.4166666666666667,0.5833333333333334
2022-01-17,0.4084507042253521,0.5915492957746479
2022-01-13,0.38596491228070173,0.6140350877192983
2022-01-12,0.39655172413793105,0.603448275862069
2022-01-07,0.45901639344262296,0.5409836065573771
2021-12-20,0.39285714285714285,0.6071428571428571
2021-12-15,0.4107142857142857,0.5892857142857143
2021-12-11,0.43478260869565216,0.5652173913043478
2021-12-10,0.43137254901960786,0.5686274509803921
2021-12-10,0.41333333333333333,0.5866666666666667
2021-12-09,0.5074626865671642,0.4925373134328358
2021-12-06,0.5616438356164384,0.4383561643835616
2021-12-02,0.46551724137931033,0.5344827586206896
2021-11-28,0.4909090909090909,0.509090909090909
2021-11-26,0.5178571428571429,0.48214285714285715
2021-11-18,0.4827586206896552,0.5172413793103449
2021-11-12,0.5098039215686274,0.49019607843137253
2021-11-11,0.48214285714285715,0.5178571428571429
2021-11-06,0.6029411764705882,0.39705882352941174
2021-11-06,0.5185185185185185,0.48148148148148145
2021-10-29,0.6,0.4
2021-10-13,0.5535714285714286,0.44642857142857145
2021-10-11,0.5753424657534246,0.4246575342465753
2021-10-04,0.5675675675675675,0.43243243243243246
2021-09-23,0.5,0.5
2021-09-17,0.5614035087719298,0.43859649122807015
2021-09-16,0.543859649122807,0.45614035087719296
2021-09-14,0.5733333333333334,0.4266666666666667
2021-09-13,0.6197183098591549,0.38028169014084506
2021-09-11,0.5517241379310345,0.4482758620689655
2021-09-06,0.5833333333333334,0.4166666666666667
2021-09-03,0.5423728813559322,0.4576271186440678
2021-09-03,0.5714285714285714,0.42857142857142855
2021-08-29,0.625,0.375
2021-08-26,0.5423728813559322,0.4576271186440678
2021-08-23,0.5774647887323944,0.4225352112676056
2021-08-20,0.543859649122807,0.45614035087719296
2021-08-16,0.5857142857142857,0.4142857142857143
2021-08-15,0.5882352941176471,0.4117647058823529
2021-08-12,0.5172413793103449,0.4827586206896552
2021-08-09,0.5733333333333334,0.4266666666666667
2021-08-06,0.5535714285714286,0.44642857142857145
2021-08-06,0.5344827586206896,0.46551724137931033
2021-08-02,0.6111111111111112,0.3888888888888889
2021-07-29,0.5409836065573771,0.45901639344262296
2021-07-25,0.5714285714285714,0.42857142857142855
2021-07-23,0.547945205479452,0.4520547945205479
2021-07-23,0.5357142857142857,0.4642857142857143
2021-07-20,0.5540540540540541,0.44594594594594594
2021-07-19,0.5945945945945946,0.40540540540540543
2021-06-18,0.6056338028169014,0.39436619718309857
2021-07-16,0.578125,0.421875
2021-07-13,0.6164383561643836,0.3835616438356164
2021-07-12,0.5972222222222222,0.4027777777777778
2021-07-09,0.5789473684210527,0.42105263157894735
2021-07-08,0.5689655172413793,0.43103448275862066
2021-07-05,0.6027397260273972,0.3972602739726027
2021-06-30,0.55,0.45
2021-06-28,0.5753424657534246,0.4246575342465753
2021-06-26,0.6164383561643836,0.3835616438356164
2021-06-25,0.5737704918032787,0.4262295081967213
2021-06-21,0.6388888888888888,0.3611111111111111
2021-06-17,0.5806451612903226,0.41935483870967744
2021-06-13,0.6266666666666667,0.37333333333333335
2021-06-13,0.6111111111111112,0.3888888888888889
2021-06-11,0.6065573770491803,0.39344262295081966
2021-06-10,0.6216216216216216,0.3783783783783784
2021-06-07,0.6575342465753424,0.3424657534246575
2021-05-31,0.6575342465753424,0.3424657534246575
2021-05-28,0.55,0.45
2021-05-28,0.5967741935483871,0.4032258064516129
2021-05-28,0.6081081081081081,0.3918918918918919
2021-05-26,0.6164383561643836,0.3835616438356164
2021-05-24,0.6438356164383562,0.3561643835616438
2021-05-20,0.625,0.375
2021-05-17,0.6756756756756757,0.32432432432432434
2021-05-16,0.6666666666666666,0.3333333333333333
2021-05-14,0.6349206349206349,0.36507936507936506
2021-05-10,0.6578947368421053,0.34210526315789475
2021-05-03,0.6,0.4
2021-04-30,0.5245901639344263,0.47540983606557374
2021-04-29,0.5540540540540541,0.44594594594594594
2021-04-26,0.6133333333333333,0.38666666666666666
2021-04-26,0.625,0.375
2021-04-23,0.5833333333333334,0.4166666666666667
