Date,CPC,LPC,NDP,BQ,PPC,GPC
2022-03-06,28,33,22,8,5,3
2022-02-25,32.2,30.3,17.7,—,5.4,6.8
2022-02-22,31,31,20,8,6,3
2022-02-21,32,32,23,6,4,3
2022-02-17,38.7,30.6,14.6,6.3,6.2,1.9
2022-02-11,31.1,30.6,16.9,7.1,7.1,6.4
2022-02-08,30,33,19,8,6,3
2022-02-06,29,33,21,8,4,4
2022-01-28,30.4,29.9,20.7,—,6.7,5.8
2022-01-23,29.3,29.4,16.7,5.8,12.7,3.2
2022-01-23,31,34,18,7,6,3
2022-01-21,29.4,28.4,22.3,5.6,—,7.0
2022-01-17,29.7,30.3,19.5,5.9,9.1,4.5
2022-01-14,28.5,28.2,24.3,6.1,5.3,6.3
2022-01-12,29,34,20,5,6,3
2022-01-12,30,32,19,8,7,3
2022-01-07,29.0,30.6,21.4,6.2,5.7,6.1
2022-01-05,29,32,22,6,7,4
2021-12-21,25,32,23,4,10,4
2021-12-10,30.4,33.3,19.8,6.2,6.7,7.0
2021-12-05,29,36,19,7,5,3
2021-11-30,30.3,33.5,15.7,5.5,10.0,3.2
2021-11-30,30,32,20,8,6,3
2021-11-29,29,35,20,7,5,2
2021-11-21,26.6,30.4,19.1,5.9,11.4,5.2
2021-11-07,26,35,22,8,5,3
2021-10-29,30.1,30.8,21.6,7.4,5.8,3.1
2021-10-24,33.3,33.8,15.4,5.5,—,3.0
2021-10-22,30.8,29.9,23.1,7.3,5.3,2.7
2021-10-20,30,33,19,7,6,3
2021-09-20,33.7,32.6,17.8,7.6,4.9,2.3
